--------------------------------------------------------------------------------
	Marvellous Infosystems Process Log
	Log file is created at: Sun Jun 15 20:18:24 2025
--------------------------------------------------------------------------------{'pid': 1, 'username': 'root', 'name': 'systemd', 'vms': 74.4296875}
{'pid': 2, 'username': 'root', 'name': 'kthreadd', 'vms': 0.0}
{'pid': 3, 'username': 'root', 'name': 'pool_workqueue_release', 'vms': 0.0}
{'pid': 4, 'username': 'root', 'name': 'kworker/R-rcu_gp', 'vms': 0.0}
{'pid': 5, 'username': 'root', 'name': 'kworker/R-sync_wq', 'vms': 0.0}
{'pid': 6, 'username': 'root', 'name': 'kworker/R-slub_flushwq', 'vms': 0.0}
{'pid': 7, 'username': 'root', 'name': 'kworker/R-netns', 'vms': 0.0}
{'pid': 12, 'username': 'root', 'name': 'kworker/R-mm_percpu_wq', 'vms': 0.0}
{'pid': 14, 'username': 'root', 'name': 'rcu_tasks_kthread', 'vms': 0.0}
{'pid': 15, 'username': 'root', 'name': 'rcu_tasks_rude_kthread', 'vms': 0.0}
{'pid': 16, 'username': 'root', 'name': 'rcu_tasks_trace_kthread', 'vms': 0.0}
{'pid': 17, 'username': 'root', 'name': 'ksoftirqd/0', 'vms': 0.0}
{'pid': 18, 'username': 'root', 'name': 'rcu_preempt', 'vms': 0.0}
{'pid': 19, 'username': 'root', 'name': 'rcu_exp_par_gp_kthread_worker/0', 'vms': 0.0}
{'pid': 20, 'username': 'root', 'name': 'rcu_exp_gp_kthread_worker', 'vms': 0.0}
{'pid': 21, 'username': 'root', 'name': 'migration/0', 'vms': 0.0}
{'pid': 22, 'username': 'root', 'name': 'idle_inject/0', 'vms': 0.0}
{'pid': 23, 'username': 'root', 'name': 'cpuhp/0', 'vms': 0.0}
{'pid': 24, 'username': 'root', 'name': 'cpuhp/1', 'vms': 0.0}
{'pid': 25, 'username': 'root', 'name': 'idle_inject/1', 'vms': 0.0}
{'pid': 26, 'username': 'root', 'name': 'migration/1', 'vms': 0.0}
{'pid': 27, 'username': 'root', 'name': 'ksoftirqd/1', 'vms': 0.0}
{'pid': 30, 'username': 'root', 'name': 'cpuhp/2', 'vms': 0.0}
{'pid': 31, 'username': 'root', 'name': 'idle_inject/2', 'vms': 0.0}
{'pid': 32, 'username': 'root', 'name': 'migration/2', 'vms': 0.0}
{'pid': 33, 'username': 'root', 'name': 'ksoftirqd/2', 'vms': 0.0}
{'pid': 36, 'username': 'root', 'name': 'cpuhp/3', 'vms': 0.0}
{'pid': 37, 'username': 'root', 'name': 'idle_inject/3', 'vms': 0.0}
{'pid': 38, 'username': 'root', 'name': 'migration/3', 'vms': 0.0}
{'pid': 39, 'username': 'root', 'name': 'ksoftirqd/3', 'vms': 0.0}
{'pid': 42, 'username': 'root', 'name': 'cpuhp/4', 'vms': 0.0}
{'pid': 43, 'username': 'root', 'name': 'idle_inject/4', 'vms': 0.0}
{'pid': 44, 'username': 'root', 'name': 'migration/4', 'vms': 0.0}
{'pid': 45, 'username': 'root', 'name': 'ksoftirqd/4', 'vms': 0.0}
{'pid': 48, 'username': 'root', 'name': 'cpuhp/5', 'vms': 0.0}
{'pid': 49, 'username': 'root', 'name': 'idle_inject/5', 'vms': 0.0}
{'pid': 50, 'username': 'root', 'name': 'migration/5', 'vms': 0.0}
{'pid': 51, 'username': 'root', 'name': 'ksoftirqd/5', 'vms': 0.0}
{'pid': 54, 'username': 'root', 'name': 'cpuhp/6', 'vms': 0.0}
{'pid': 55, 'username': 'root', 'name': 'idle_inject/6', 'vms': 0.0}
{'pid': 56, 'username': 'root', 'name': 'migration/6', 'vms': 0.0}
{'pid': 57, 'username': 'root', 'name': 'ksoftirqd/6', 'vms': 0.0}
{'pid': 60, 'username': 'root', 'name': 'cpuhp/7', 'vms': 0.0}
{'pid': 61, 'username': 'root', 'name': 'idle_inject/7', 'vms': 0.0}
{'pid': 62, 'username': 'root', 'name': 'migration/7', 'vms': 0.0}
{'pid': 63, 'username': 'root', 'name': 'ksoftirqd/7', 'vms': 0.0}
{'pid': 66, 'username': 'root', 'name': 'kdevtmpfs', 'vms': 0.0}
{'pid': 67, 'username': 'root', 'name': 'kworker/R-inet_frag_wq', 'vms': 0.0}
{'pid': 68, 'username': 'root', 'name': 'kauditd', 'vms': 0.0}
{'pid': 69, 'username': 'root', 'name': 'oom_reaper', 'vms': 0.0}
