USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  76216 17144 ?        Ss   May24   0:41 /usr/lib/systemd/systemd --switched-root --system --deserialize=48 rhgb
root           2  0.0  0.0      0     0 ?        S    May24   0:01 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    May24   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-slub_flushwq]
root           7  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-netns]
root          12  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    May24   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    May24   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    May24   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    May24   2:44 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    May24   6:59 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    May24   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    May24   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    May24   0:01 [migration/0]
root          22  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/1]
root          26  0.0  0.0      0     0 ?        S    May24   0:01 [migration/1]
root          27  0.0  0.0      0     0 ?        S    May24   0:25 [ksoftirqd/1]
root          30  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/2]
root          31  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/2]
root          32  0.0  0.0      0     0 ?        S    May24   0:01 [migration/2]
root          33  0.0  0.0      0     0 ?        S    May24   0:28 [ksoftirqd/2]
root          36  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/3]
root          37  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/3]
root          38  0.0  0.0      0     0 ?        S    May24   0:01 [migration/3]
root          39  0.0  0.0      0     0 ?        S    May24   0:18 [ksoftirqd/3]
root          42  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/4]
root          43  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/4]
root          44  0.0  0.0      0     0 ?        S    May24   0:01 [migration/4]
root          45  0.0  0.0      0     0 ?        S    May24   0:15 [ksoftirqd/4]
root          48  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/5]
root          49  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/5]
root          50  0.0  0.0      0     0 ?        S    May24   0:01 [migration/5]
root          51  0.0  0.0      0     0 ?        S    May24   0:19 [ksoftirqd/5]
root          54  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/6]
root          55  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/6]
root          56  0.0  0.0      0     0 ?        S    May24   0:01 [migration/6]
root          57  0.0  0.0      0     0 ?        S    May24   0:18 [ksoftirqd/6]
root          60  0.0  0.0      0     0 ?        S    May24   0:00 [cpuhp/7]
root          61  0.0  0.0      0     0 ?        S    May24   0:00 [idle_inject/7]
root          62  0.0  0.0      0     0 ?        S    May24   0:01 [migration/7]
root          63  0.0  0.0      0     0 ?        S    May24   0:16 [ksoftirqd/7]
root          66  0.0  0.0      0     0 ?        S    May24   0:00 [kdevtmpfs]
root          67  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-inet_frag_wq]
root          68  0.0  0.0      0     0 ?        S    May24   0:00 [kauditd]
root          69  0.0  0.0      0     0 ?        S    May24   0:00 [oom_reaper]
root          71  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-writeback]
root          72  0.0  0.0      0     0 ?        S    May24   5:59 [kcompactd0]
root          73  0.0  0.0      0     0 ?        SN   May24   0:00 [ksmd]
root          74  0.0  0.0      0     0 ?        SN   May24   0:00 [khugepaged]
root          75  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-cryptd]
root          76  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-kintegrityd]
root          77  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-kblockd]
root          78  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-blkcg_punt_bio]
root          81  0.0  0.0      0     0 ?        S    May24   5:21 [irq/9-acpi]
root          82  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-tpm_dev_wq]
root          83  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-ata_sff]
root          84  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-md]
root          85  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-md_bitmap]
root          86  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-edac-poller]
root          87  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-devfreq_wq]
root          88  0.0  0.0      0     0 ?        S    May24   0:00 [watchdogd]
root          90  0.0  0.0      0     0 ?        I<   May24   0:23 [kworker/4:1H-events_highpri]
root          91  0.0  0.0      0     0 ?        S    May24   0:53 [kswapd0]
root         101  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-kthrotld]
root         106  0.0  0.0      0     0 ?        S    May24   0:00 [irq/125-pciehp]
root         107  0.0  0.0      0     0 ?        S    May24   0:00 [irq/126-pciehp]
root         108  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-acpi_thermal_pm]
root         110  0.0  0.0      0     0 ?        S    May24   6:17 [hwrng]
root         121  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-dm_bufio_cache]
root         122  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-mld]
root         123  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-ipv6_addrconf]
root         124  0.0  0.0      0     0 ?        I<   May24   1:02 [kworker/0:1H-kblockd]
root         129  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-kstrp]
root         288  0.0  0.0      0     0 ?        I<   May24   0:22 [kworker/7:1H-kblockd]
root         290  0.0  0.0      0     0 ?        I<   May24   0:30 [kworker/3:1H-events_highpri]
root         331  0.0  0.0      0     0 ?        I<   May24   0:23 [kworker/6:1H-events_highpri]
root         333  0.0  0.0      0     0 ?        I<   May24   0:37 [kworker/1:1H-events_highpri]
root         337  0.0  0.0      0     0 ?        I<   May24   0:27 [kworker/5:1H-events_highpri]
root         345  0.0  0.0      0     0 ?        I<   May24   0:34 [kworker/2:1H-kblockd]
root         478  0.0  0.0      0     0 ?        S    May24   2:11 [irq/118-ELAN0676:00]
root         512  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-nvme-wq]
root         513  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-nvme-reset-wq]
root         514  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-nvme-delete-wq]
root         515  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-nvme-auth-wq]
root         527  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-worker]
root         528  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-delalloc]
root         529  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-flush_delalloc]
root         530  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-cache]
root         531  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-fixup]
root         532  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-endio]
root         533  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-endio-meta]
root         534  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-rmw]
root         535  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-endio-write]
root         536  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-compressed-write]
root         537  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-freespace-write]
root         538  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-delayed-meta]
root         539  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-btrfs-qgroup-rescan]
root         540  0.0  0.0      0     0 ?        S    May24   0:00 [btrfs-cleaner]
root         541  0.0  0.0      0     0 ?        S    May24  17:29 [btrfs-transaction]
root         544  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-USBC000:00-con1]
root         545  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-ttm]
root         546  0.0  0.0      0     0 ?        S    May24   0:00 [card1-crtc0]
root         547  0.0  0.0      0     0 ?        S    May24   0:00 [card1-crtc1]
root         548  0.0  0.0      0     0 ?        S    May24   0:00 [card1-crtc2]
root         549  0.0  0.0      0     0 ?        S    May24   0:00 [card1-crtc3]
root         551  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-USBC000:00-con2]
root         657  0.0  0.4 317508 159260 ?       Ss   May24   0:51 /usr/lib/systemd/systemd-journald
root         685  0.0  0.0  16236  5772 ?        Ss   May24   0:03 /usr/lib/systemd/systemd-userdbd
root         693  0.0  0.0      0     0 ?        S    May24   0:00 [psimon]
root         715  0.0  0.0  38060  8872 ?        Ss   May24   0:20 /usr/lib/systemd/systemd-udevd
root         729  0.0  0.0      0     0 ?        S    May24   0:00 [psimon]
root         810  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-ktpacpid]
root         815  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-cfg80211]
root         836  0.0  0.0      0     0 ?        S    May24   1:08 [irq/171-iwlwifi:default_queue]
root         837  0.0  0.0      0     0 ?        S    May24   0:15 [irq/172-iwlwifi:queue_1]
root         838  0.0  0.0      0     0 ?        S    May24   0:21 [irq/173-iwlwifi:queue_2]
root         839  0.0  0.0      0     0 ?        S    May24   0:09 [irq/174-iwlwifi:queue_3]
root         840  0.0  0.0      0     0 ?        S    May24   0:20 [irq/175-iwlwifi:queue_4]
root         841  0.0  0.0      0     0 ?        S    May24   0:19 [irq/176-iwlwifi:queue_5]
root         842  0.0  0.0      0     0 ?        S    May24   0:11 [irq/177-iwlwifi:queue_6]
root         843  0.0  0.0      0     0 ?        S    May24   0:17 [irq/178-iwlwifi:queue_7]
root         844  0.0  0.0      0     0 ?        S    May24   0:15 [irq/179-iwlwifi:queue_8]
root         845  0.0  0.0      0     0 ?        S    May24   0:00 [irq/180-iwlwifi:exception]
root         892  0.0  0.0      0     0 ?        S    May24   0:06 [irq/197-AudioDSP]
root         900  0.0  0.0      0     0 ?        S    May24   0:00 [jbd2/nvme0n1p2-8]
root         901  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-ext4-rsv-conversion]
systemd+     946  0.0  0.0  16536  7116 ?        Ss   May24  15:13 /usr/lib/systemd/systemd-oomd
systemd+     948  0.0  0.0  27760 12560 ?        Ss   May24   3:09 /usr/lib/systemd/systemd-resolved
root         968  0.0  0.0  20172  2356 ?        S<sl May24   0:00 /usr/sbin/auditd
dbus         976  0.0  0.0   9772  4200 ?        Ss   May24   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         977  0.0  0.0  11820  5996 ?        S    May24   1:12 dbus-broker --log 4 --controller 9 --machine-id dda7e8d34ea846af9d2cd06c5b5bc77c --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        979  0.0  0.0   8760  5120 ?        Ss   May24   2:29 avahi-daemon: running [fedora-8.local]
root         980  0.0  0.0   9628  5464 ?        Ss   May24   0:16 /usr/libexec/bluetooth/bluetoothd
root         983  0.0  0.0 302876  5548 ?        SLsl May24   0:00 /usr/libexec/low-memory-monitor
root         984  0.0  0.0   2672  2016 ?        Ss   May24   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd      985  0.0  0.0 616640 26008 ?        Ssl  May24   1:22 /usr/lib/polkit-1/polkitd --no-debug
rtkit        986  0.0  0.0  21612  3152 ?        SNsl May24   0:10 /usr/libexec/rtkit-daemon
root         987  0.0  0.0 531436  7916 ?        Ssl  May24   0:00 /usr/libexec/accounts-daemon
root         990  0.0  0.0 527996  6528 ?        Ssl  May24   0:01 /usr/libexec/switcheroo-control
root         991  0.0  0.0  20936  9596 ?        Ss   May24   0:06 /usr/lib/systemd/systemd-logind
root         993  0.0  0.0  16668  6904 ?        Ss   May24   0:12 /usr/lib/systemd/systemd-machined
root         996  0.0  0.0 468416 10916 ?        Ssl  May24   0:02 /usr/libexec/udisks2/udisksd
root         997  0.0  0.0 554276 24200 ?        Ssl  May24   2:17 /usr/libexec/upowerd
avahi       1002  0.0  0.0   7364  1432 ?        S    May24   0:00 avahi-daemon: chroot helper
root        1021  0.0  0.0      0     0 ?        S    May24   0:00 [psimon]
root        1033  0.0  0.0 548680 10452 ?        Ssl  May24   0:00 /usr/sbin/abrtd -d -s
chrony      1053  0.0  0.0  85336  3872 ?        S    May24   0:03 /usr/sbin/chronyd -F 2
root        1080  0.0  0.0 390604  8668 ?        Ssl  May24   0:03 /usr/sbin/ModemManager
root        1082  0.0  0.0 530236  6940 ?        Ssl  May24   0:03 /usr/libexec/boltd
root        1083  0.0  0.0 361004 25648 ?        Ssl  May24   0:04 /usr/bin/python3 -sP /usr/sbin/firewalld --nofork --nopid
root        1100  0.0  0.0 1088704 13132 ?       Ss   May24   0:04 /usr/bin/abrt-dump-journal-core -D -T -f -e
root        1101  0.0  0.0 1072448 13616 ?       Ss   May24   0:05 /usr/bin/abrt-dump-journal-oops -fxtD
root        1102  0.0  0.0 1088620 19976 ?       Ss   May24   0:42 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1105  0.0  0.0 553612 19124 ?        Ssl  May24   6:12 /usr/sbin/NetworkManager --no-daemon
root        1167  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-rpciod]
root        1168  0.0  0.0      0     0 ?        I<   May24   0:00 [kworker/R-xprtiod]
root        1171  0.0  0.0   4744  3212 ?        SNs  May24   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        1175  0.0  0.0  15848  9616 ?        Ss   May24   0:26 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1189  0.0  0.0 247776  8292 ?        Ss   May24   0:00 /usr/sbin/cupsd -l
root        1203  0.0  0.0 276816  3156 ?        Ssl  May24   0:09 /usr/sbin/gssproxy -D
root        1283  0.0  0.0 532604  8928 ?        Ssl  May24   0:01 /usr/sbin/gdm
root        1316  0.0  0.0 305824  5952 ?        Ssl  May24   0:00 /usr/libexec/uresourced
colord      1416  0.0  0.0 535204 10228 ?        Ssl  May24   0:00 /usr/libexec/colord
root        1582  0.0  0.0 1903636 11832 ?       Ssl  May24   0:17 /usr/sbin/pcscd --foreground --auto-exit
root        1843  0.0  0.0      0     0 ?        S<   May24   0:00 [krfcommd]
root        1926  0.0  0.0 530288  7256 ?        Ssl  May24   0:00 /usr/libexec/power-profiles-daemon
root        1973  0.0  0.0 691372 12096 ?        Sl   May24   0:02 gdm-session-worker [pam/gdm-password]
visawant    2000  0.0  0.0  30620 13476 ?        Ss   May24   0:41 /usr/lib/systemd/systemd --user
visawant    2008  0.0  0.0  16700  1580 ?        S    May24   0:00 (sd-pam)
