CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Female,21,16,81
3,Male,20,17,6
4,Female,23,18,77
5,Male,31,19,40
6,Female,22,20,76
7,Male,35,21,6
8,Female,23,22,94
9,Male,64,23,3
10,Female,30,24,72
11,Male,19,25,14
12,Female,21,26,99
13,Male,20,27,15
14,Female,23,28,77
15,Male,31,29,13
16,Female,22,30,79
17,Male,35,31,35
18,Female,23,32,66
19,Male,64,33,29
20,Female,30,34,98
21,Male,19,15,39
22,Female,21,16,81
23,Male,20,17,6
24,Female,23,18,77
25,Male,31,19,40
26,Female,22,20,76
27,Male,35,21,6
28,Female,23,22,94
29,Male,64,23,3
30,Female,30,24,72
31,Male,19,25,14
32,Female,21,26,99
33,Male,20,27,15
34,Female,23,28,77
35,Male,31,29,13
36,Female,22,30,79
37,Male,35,31,35
38,Female,23,32,66
39,Male,64,33,29
40,Female,30,34,98
41,Male,19,15,39
42,Female,21,16,81
43,Male,20,17,6
44,Female,23,18,77
45,Male,31,19,40
46,Female,22,20,76
47,Male,35,21,6
48,Female,23,22,94
49,Male,64,23,3
50,Female,30,24,72
51,Male,19,25,14
52,Female,21,26,99
53,Male,20,27,15
54,Female,23,28,77
55,Male,31,29,13
56,Female,22,30,79
57,Male,35,31,35
58,Female,23,32,66
59,Male,64,33,29
60,Female,30,34,98
61,Male,19,15,39
62,Female,21,16,81
63,Male,20,17,6
64,Female,23,18,77
65,Male,31,19,40
66,Female,22,20,76
67,Male,35,21,6
68,Female,23,22,94
69,Male,64,23,3
70,Female,30,24,72
71,Male,19,25,14
72,Female,21,26,99
73,Male,20,27,15
74,Female,23,28,77
75,Male,31,29,13
76,Female,22,30,79
77,Male,35,31,35
78,Female,23,32,66
79,Male,64,33,29
80,Female,30,34,98
81,Male,19,15,39
82,Female,21,16,81
83,Male,20,17,6
84,Female,23,18,77
85,Male,31,19,40
86,Female,22,20,76
87,Male,35,21,6
88,Female,23,22,94
89,Male,64,23,3
90,Female,30,24,72
91,Male,19,25,14
92,Female,21,26,99
93,Male,20,27,15
94,Female,23,28,77
95,Male,31,29,13
96,Female,22,30,79
97,Male,35,31,35
98,Female,23,32,66
99,Male,64,33,29
100,Female,30,34,98
101,Male,19,15,39
102,Female,21,16,81
103,Male,20,17,6
104,Female,23,18,77
105,Male,31,19,40
106,Female,22,20,76
107,Male,35,21,6
108,Female,23,22,94
109,Male,64,23,3
110,Female,30,24,72
111,Male,19,25,14
112,Female,21,26,99
113,Male,20,27,15
114,Female,23,28,77
115,Male,31,29,13
116,Female,22,30,79
117,Male,35,31,35
118,Female,23,32,66
119,Male,64,33,29
120,Female,30,34,98
121,Male,19,15,39
122,Female,21,16,81
123,Male,20,17,6
124,Female,23,18,77
125,Male,31,19,40
126,Female,22,20,76
127,Male,35,21,6
128,Female,23,22,94
129,Male,64,23,3
130,Female,30,24,72
131,Male,19,25,14
132,Female,21,26,99
133,Male,20,27,15
134,Female,23,28,77
135,Male,31,29,13
136,Female,22,30,79
137,Male,35,31,35
138,Female,23,32,66
139,Male,64,33,29
140,Female,30,34,98
141,Male,19,15,39
142,Female,21,16,81
143,Male,20,17,6
144,Female,23,18,77
145,Male,31,19,40
146,Female,22,20,76
147,Male,35,21,6
148,Female,23,22,94
149,Male,64,23,3
150,Female,30,24,72
151,Male,19,25,14
152,Female,21,26,99
153,Male,20,27,15
154,Female,23,28,77
155,Male,31,29,13
156,Female,22,30,79
157,Male,35,31,35
158,Female,23,32,66
159,Male,64,33,29
160,Female,30,34,98
161,Male,19,15,39
162,Female,21,16,81
163,Male,20,17,6
164,Female,23,18,77
165,Male,31,19,40
166,Female,22,20,76
167,Male,35,21,6
168,Female,23,22,94
169,Male,64,23,3
170,Female,30,24,72
171,Male,19,25,14
172,Female,21,26,99
173,Male,20,27,15
174,Female,23,28,77
175,Male,31,29,13
176,Female,22,30,79
177,Male,35,31,35
178,Female,23,32,66
179,Male,64,33,29
180,Female,30,34,98
181,Male,19,15,39
182,Female,21,16,81
183,Male,20,17,6
184,Female,23,18,77
185,Male,31,19,40
186,Female,22,20,76
187,Male,35,21,6
188,Female,23,22,94
189,Male,64,23,3
190,Female,30,24,72
191,Male,19,25,14
192,Female,21,26,99
193,Male,20,27,15
194,Female,23,28,77
195,Male,31,29,13
196,Female,22,30,79
197,Male,35,31,35
198,Female,23,32,66
199,Male,64,33,29
200,Female,30,34,98
